12;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
13;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
14;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Supplier"":""Process details""}";COMPLETE
15;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";COMPLETE
16;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";
17;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
18;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
19;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
20;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";COMPLETE
21;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";
22;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";
23;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
24;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
25;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";COMPLETE
26;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
27;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
28;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
