108;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
109;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
110;"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Supplier"":""Process details""}";"{""Supplier"":""Process details""}";"{""Supplier"":""Process details""}";
111;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
112;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";
113;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";COMPLETE
114;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
115;"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Supplier"":""Process details""}";COMPLETE
116;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
117;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
118;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
119;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
120;"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
121;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
122;"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";COMPLETE
123;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
124;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
125;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
126;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
127;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
128;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
129;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";
130;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
131;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
132;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
133;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";
134;"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";COMPLETE
135;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
136;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
137;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
138;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";
139;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";COMPLETE
140;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";
141;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
142;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";COMPLETE
143;"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
144;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";COMPLETE
145;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
146;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";COMPLETE
147;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
148;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";COMPLETE
149;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";COMPLETE
150;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
151;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
152;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
153;"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Supplier"":""Process details""}";"{""Supplier"":""Details complete""}";COMPLETE
154;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
155;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
156;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";COMPLETE
157;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
158;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
159;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
160;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
161;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
162;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";COMPLETE
163;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";
164;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";
