Iteration;Non-Finality Latency;Finality Latency;Gas Cost
1;28.153899997472763;16631.842500001192;137004
2;52.58730000257492;18919.9776000008;137004
3;22.78939999639988;14239.002100005746;137004
4;21.636100001633167;19042.293299995363;137004
5;25.504700005054474;23154.36660000682;137004
6;21.915199995040894;22906.677000001073;137004
7;28.160599999129772;12864.77840000391;137004
8;26.98149999976158;19032.837999999523;137004
9;26.752599999308586;23220.120200000703;136944
10;22.222999997437;22810.38599999994;137004
11;20.276799999177456;23374.504299998283;137004
12;20.50400000065565;13183.468899995089;137004
13;25.04160000383854;19426.989699997008;137004
14;20.06300000101328;20541.982700005174;136944
15;21.964199997484684;12386.294500000775;137004
16;24.29569999873638;15333.146399997175;137004
17;20.01909999549389;12696.52570001036;137004
18;18.785199999809265;21324.556599996984;137004
19;19.31870000064373;23043.274399995804;137004
20;23.453599996864796;22931.812400005758;136944
21;17.85980000346899;19607.573599994183;137004
22;20.153499998152256;14082.695000000298;137004
23;17.84170000255108;13690.020300000906;136944
24;18.45829999446869;16448.110300004482;137004
25;26.99669999629259;12179.377300000022;137004
26;45.41210000216961;22331.85520000002;137004
27;22.61830000579357;22109.033199999947;137004
28;21.909800000488758;12095.641999999993;137004
29;23.759899996221066;20170.711299999966;136992
30;19.911200001835823;14150.77390000003;137004
31;26.82490000128746;20879.35130000004;137004
32;28.961000002920628;21084.956700000068;137004
33;28.324000000953674;22263.218600000022;137004
34;20.973700001835823;21317.3493;137004
35;19.871799997985363;12713.870300000068;137004
36;20.341699995100498;13712.874399999855;136944
37;25.592799998819828;12323.6553000001;137004
38;20.231100000441074;12543.206799999927;136944
39;25.593800000846386;22221.83440000005;137004
40;19.37550000101328;20814.201300000073;137004
41;18.491500005126;14119.02070000011;137004
42;24.567299999296665;20639.284400000004;137004
43;22.125100001692772;22012.25919999997;137004
44;19.348399996757507;22223.00119999994;137004
45;19.391100004315376;19427.16659999988;137004
46;18.257099993526936;22005.640999999945;137004
47;19.373700000345707;14947.079700000002;137004
48;17.641199998557568;21245.179500000086;137004
49;18.81749999523163;15198.038200000068;137004
50;17.636099994182587;19703.064399999916;136992
