11;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Waiting for delivery""}";COMPLETE
12;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";
13;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";
14;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";COMPLETE
15;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Maintenance complete""}";"{""Maintenance Contractor"":""Maintenance complete""}";
16;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";
17;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";
18;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Maintenance Contractor"":""Perform maintenance""}";COMPLETE
19;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Waiting for delivery""}";"{""Maintenance Contractor"":""Waiting for delivery""}";"{""Maintenance Contractor"":""Perform maintenance""}";COMPLETE
20;"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Maintenance Contractor"":""Perform maintenance""}";COMPLETE
21;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Maintenance Contractor"":""Perform maintenance""}";COMPLETE
22;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";
23;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";
24;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";COMPLETE
25;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";
